"Company Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Primary SIC Code","Cuisine Code"
"Il Pastaio Boulder","3075 Arapahoe Ave # B","Boulder","CO","80303","Verified","040.015136","-105.251852","581208","I"
"Illegal Pete","1320 College Ave","Boulder","CO","80302","Verified","040.007164","-105.275843","581208",""
"Illegal Pete's","1124 13th St","Boulder","CO","80302","Verified","040.007831","-105.275945","581208","V"
"Illegal Pete's","1447 Pearl St","Boulder","CO","80302","Verified","040.018829","-105.276314","581208","V"
"Izakaya Amu","1221 Spruce St","Boulder","CO","80302","Verified","040.019313","-105.279874","581208",""
"Jaipur Indian","1800 Broadway #160","Boulder","CO","80302","Verified","040.016509","-105.278806","581208","F"
"Jamba Juice","1669 Euclid Ave","Boulder","CO","80309","Verified","040.008300","-105.269200","581248",""
"Jamba Juice","3053 Arapahoe Ave","Boulder","CO","80303","Verified","040.015024","-105.252675","581248",""
"Japango Sushi Restaurant","1136 Pearl St # 100","Boulder","CO","80302","Verified","040.017517","-105.280284","581208","3"
"Jax Restaurant","928 Pearl St","Boulder","CO","80302","Verified","040.016916","-105.283201","581208","3"
"Jill's Restaurant","900 Walnut St","Boulder","CO","80302","Verified","040.015702","-105.282547","581208","A"
"Jimmy John's","1125 13th St","Boulder","CO","80302","Verified","040.007613","-105.276410","581208","D"
"Jimmy John's","3310 Arapahoe Ave","Boulder","CO","80303","Verified","040.014328","-105.249760","581208","D"
"Julia's Kitchen","4457 Broadway St","Boulder","CO","80304","Verified","040.055397","-105.282585","581208","3"
"Kalita Grill Greek Cafe","2426 Arapahoe Ave","Boulder","CO","80302","Verified","040.014474","-105.263225","581208","9"
"Kasa Japanese Grill & Bar","1468 Pearl St # 110","Boulder","CO","80302","Verified","040.018361","-105.276204","581208","Y"
"Kathmandu Restaurant","1964 28th St","Boulder","CO","80301","Verified","040.020806","-105.257671","581208","Y"
"KFC","3210 Arapahoe Ave # 274","Boulder","CO","80303","Verified","040.014331","-105.250934","581208","f"
"KHOW Thai Cafe","1600 Broadway","Boulder","CO","80302","Verified","040.013078","-105.278066","581208","Y"
"Kim Food To Go","1325 Broadway","Boulder","CO","80302","Verified","040.009898","-105.277055","581208","W"
"Kitchen","1039 Pearl St # B","Boulder","CO","80302","Verified","040.017844","-105.281718","581208","3"
"Korea House","2750 Glenwood Dr # 4","Boulder","CO","80304","Verified","040.032346","-105.259581","581208","Y"
"Kt's Bbq","2660 Broadway St","Boulder","CO","80304","Verified","040.025059","-105.281166","581208","E"
"Kt's Bbq","7464 Arapahoe Rd # A1","Boulder","CO","80303","Verified","040.013776","-105.179176","581208","E"
"Ku Cha House Of Tea","1211 Pearl St","Boulder","CO","80302","Verified","040.018251","-105.279752","549915",""
"LA Chosa","1203 13th St # A","Boulder","CO","80302","Verified","040.008842","-105.276578","581208",""
"LA Loma","4483 Broadway St","Boulder","CO","80304","Verified","040.055821","-105.282583","581208",""
"Le French Cafe","2525 Arapahoe Ave # C1","Boulder","CO","80302","Verified","040.015498","-105.262110","581208","1"
"Le Peep","2525 Arapahoe Ave # E50","Boulder","CO","80302","Verified","040.015498","-105.262110","581208","A"
"Leaf Vegetarian Restaurant","1710 Pearl St","Boulder","CO","80302","Verified","040.018772","-105.274109","581208","z"
"Lee Yaun Chinese Cuisine","4800 Baseline Rd","Boulder","CO","80303","Verified","039.998439","-105.234243","581208","C"
"Lindsay's Boulder Deli","1148 Pearl St","Boulder","CO","80302","Verified","040.017551","-105.280075","581208","A"
"Little Tibet","4479 Broadway St","Boulder","CO","80304","Verified","040.055821","-105.282583","581208",""
"Lolita's Market & Deli","800 Pearl St","Boulder","CO","80302","Verified","040.016584","-105.284841","581208","D"
"Los Agaves Restaurant","14497 Gold Hill Rd","Boulder","CO","80302","Verified","040.050423","-105.484825","581208",""
"Lucile's Creole Cafe","2124 14th St","Boulder","CO","80302","Verified","040.020070","-105.277675","581208","3"
"Lucky's Cafe","3980 Broadway St","Boulder","CO","80304","Verified","040.047540","-105.281719","581208",""
"MAD Greens","1805 29th St # 1144","Boulder","CO","80301","Verified","040.019300","-105.256829","581208","3"
"Make A Mess & Make Believe","1919 Yarmouth Ave","Boulder","CO","80304","Verified","040.058621","-105.272223","581208",""
"Mandala Infusion LLC","4479 Broadway St","Boulder","CO","80304","Verified","040.055821","-105.282583","581208","g"
"Mantra","1630 30th St # B","Boulder","CO","80301","Verified","040.015830","-105.252371","581208",""
"Martys Meals Inc","2750 Glenwood Dr","Boulder","CO","80304","Verified","040.032346","-105.259581","581208",""
"Mateo Restaurant","1837 Pearl St","Boulder","CO","80302","Verified","040.020027","-105.271139","581208","1"
"May Wah Chinese-Vietnamese","2500 Baseline Rd","Boulder","CO","80305","Verified","040.000027","-105.262322","581208","C"
"Mc Donald's","1800 28th St","Boulder","CO","80301","Verified","040.019308","-105.257960","581208","e"
"Mc Donald's","2920 Baseline Rd","Boulder","CO","80303","Verified","039.999468","-105.255144","581208","e"
"Mc Donald's Corporate Office","6151 Songbird Cir","Boulder","CO","80303","Verified","040.008905","-105.210164","581220",""
"Mcdevitt Taco Supply","4800 Baseline Rd #C110","Boulder","CO","80303","Verified","039.998439","-105.234243","581208","V"
"Mediterranean Markets","2690 28th St","Boulder","CO","80301","Verified","040.027041","-105.257614","541105",""
"Mediterranean Restaurant","1002 Walnut St # 101b","Boulder","CO","80302","Verified","040.016101","-105.281852","581208","m"
"Millennium Harvest Hse Boulder","1345 28th St","Boulder","CO","80302","Verified","040.018700","-105.287200","581208",""
"Modern Market","1600 28th St # 1212","Boulder","CO","80301","Verified","040.018188","-105.255928","581208","A"
"Moe's Broadway Bagel","3267 28th St","Boulder","CO","80301","Verified","040.033947","-105.259262","581208","X"
"Moe's Original BBQ","675 30th St","Boulder","CO","80303","Verified","039.999470","-105.253274","581208","E"
"Mojo Taqueria Boulder","2785 Iris Ave","Boulder","CO","80304","Verified","040.037491","-105.259224","581208","V"
"Motherlode Cafe","6315 Lookout Rd","Boulder","CO","80301","Verified","040.071911","-105.206427","581208","3"
"Motherlode Cafe & Tavern","6315 Lookout Rd","Boulder","CO","80301","Verified","040.071911","-105.206427","581208",""
"Motomaki","1600 28th St #1216","Boulder","CO","80301","Verified","040.018188","-105.255928","581208","8"
"Mountain Sun Pub & Brewery","1535 Pearl St","Boulder","CO","80302","Verified","040.019171","-105.275298","581208","e"
"Murphy's Grill","2731 Iris Ave","Boulder","CO","80304","Verified","040.037437","-105.260162","581208","3"
"Murphys","657 S Broadway St","Boulder","CO","80305","Verified","039.981954","-105.246866","581208","3"
"Mustard's Last Stand","1719 Broadway","Boulder","CO","80302","Verified","040.014448","-105.278980","581208","3"
"My Ramen & Izakaya","3280 28th St # 2","Boulder","CO","80301","Verified","040.034336","-105.258179","581208","Y"
"Naked Lunch","3301 Arapahoe Ave","Boulder","CO","80303","Verified","040.015460","-105.249345","581208",""
"Native Foods","1675 29th St # 1272","Boulder","CO","80301","Verified","040.016882","-105.256297","581208","4"
"Native Roots Dispensary","845 Walnut St","Boulder","CO","80302","Verified","040.016157","-105.284048","512227",""
"Nepal Cuisine","4720 Table Mesa Dr # C100","Boulder","CO","80305","Verified","039.984990","-105.238666","581208","Y"
"Next Door American Eatery","1035 Pearl St","Boulder","CO","80302","Verified","040.017798","-105.281898","581208","3"
"Noodles & Company","1245 Alpine Ave","Boulder","CO","80304","Verified","040.025929","-105.281367","581208","g"
"Noodles & Company","1600 28th St # 1208","Boulder","CO","80301","Verified","040.018188","-105.255928","581208","g"
"Noodles & Company","2602 Baseline Rd","Boulder","CO","80305","Verified","040.000156","-105.261463","581208","g"
"Nopalitos","2850 Iris Ave #H","Boulder","CO","80301","Verified","040.035632","-105.256288","581208",""
"North End At 4580","4580 Broadway St #D","Boulder","CO","80304","Verified","040.057503","-105.281564","581208","3"
"Oak At Fourteenth","1400 Pearl St","Boulder","CO","80302","Verified","040.018236","-105.277077","581208",""
"Oregano's Pizza Bistro","2690 Baseline Rd","Boulder","CO","80305","Verified","039.999786","-105.260498","581222",""
"Organic Sandwich Co","1500 Pearl St","Boulder","CO","80302","Verified","040.018545","-105.275308","581208","D"
"Oriental Cafe","1305 Broadway","Boulder","CO","80302","Verified","040.009567","-105.276528","581208","Y"
"Osaka's","2460 Canyon Blvd","Boulder","CO","80302","Verified","040.017022","-105.262221","581208",""
"Oskar Blues Brewery","921 Pearl St","Boulder","CO","80302","Verified","040.017301","-105.283500","208201",""
"Out The Bottle Boulder #1 LLC","675 30th St # 679","Boulder","CO","80303","Verified","039.999470","-105.253274","581208",""
"Outback Saloon","3141 28th St","Boulder","CO","80301","Verified","040.031726","-105.259265","581301",""
